Source Target Weight
路上 幸福 2409
路上 藏民 6942
路上 信仰 25206
路上 朝圣 24045
路上 拉萨 5670
路上 影片 6470
路上 生活 13946
路上 西藏 12404
路上 虔诚 5216
路上 导演 7177
路上 愚昧 3901
路上 磕头 9090
路上 片子 3549
路上 忠诚 12
路上 高票 401
愚昧 冈仁波齐 7447
愚昧 这部 6575
愚昧 电影 20275
愚昧 宗教 8201
愚昧 幸福 1727
愚昧 藏民 5261
愚昧 信仰 21860
愚昧 朝圣 13680
愚昧 拉萨 3095
愚昧 影片 4419
愚昧 生活 9966
愚昧 路上 3901
愚昧 西藏 9870
愚昧 虔诚 3823
愚昧 导演 4461
愚昧 磕头 7677
愚昧 片子 2764
愚昧 忠诚 11
愚昧 高票 534
磕头 冈仁波齐 16586
磕头 这部 12424
磕头 电影 39749
磕头 宗教 14996
磕头 幸福 3469
磕头 藏民 10597
磕头 信仰 41747
磕头 朝圣 29962
磕头 拉萨 7534
磕头 影片 8680
磕头 生活 19126
磕头 路上 9090
磕头 西藏 18554
磕头 虔诚 8202
磕头 导演 9512
磕头 愚昧 7677
磕头 片子 5778
磕头 忠诚 46
磕头 高票 939
忠诚 冈仁波齐 54
忠诚 朝圣 101
忠诚 电影 119
忠诚 西藏 64
忠诚 导演 17
忠诚 磕头 46
忠诚 信仰 184
忠诚 路上 12
忠诚 虔诚 21
忠诚 这部 26
忠诚 幸福 11
忠诚 生活 25
忠诚 拉萨 20
忠诚 影片 6
忠诚 愚昧 11
忠诚 片子 5
忠诚 宗教 50
忠诚 藏民 19
高票 片子 324
高票 拉萨 358
高票 生活 1140
高票 藏民 639
高票 信仰 2419
高票 电影 2356
高票 朝圣 1608
高票 西藏 1153
高票 磕头 939
高票 虔诚 424
高票 宗教 940
高票 这部 762
高票 冈仁波齐 806
高票 导演 526
高票 影片 445
高票 愚昧 534
高票 幸福 235
高票 路上 401
